cluster_id,score,summary
1,[],TS Trịnh_Thuỵ_Tuyết_Sinh_Lịch sử_Bộ GD_ĐT đã chỉ ra những sai lầm thường gặp trong các kỳ thi THPT quốc gia năm 2019 và hướng khắc phục chúng.
2,[],Nhiều nơi trên thế giới đang phải trải qua những đợt sóng nhiệt cực_đoan_doan_đến mức nguy_cơ tử_vong_nước.
3,[],Giới nhà giàu trên thế giới đang lo lắng trước những áp lực trừng phạt mới. Giới kinh tế tài chính hàng đầu của khu vực này đang phải đối mặt với tình_thế_nhân_tình_đối_ với các nước đang phát_sản hoặc đang phải đối mặt với tình_thế_nhân_mắc_sự cố an_ninh lương_thực.
4,[],"GDP của Việt_Nam trong 6 tháng đầu năm 2022 đã tăng 6,42 % so với cùng kỳ năm trước. Đây là mức tăng cao nhất trong 6 tháng qua."
5,[],Bộ_dựng nêu rõ thị_trường BĐS hiện đang bộc_lộ các hạn_chế bất_cập có những dấu_hiệu chưa ổn_định chưa lành_mạnh.
6,[],"Hôm nay 01/04/2019, Vinpearl Safari Phú_ Quốc tiếp tục nhận chăm_sóc hai cá_thể Đười_ươi Sumatra vô_cùng đặc_biệt là Suaq và Surya vốn là loài ở tình_trạng bảo_tồn nguy_cấp."
7,[],Ngày 19/7 Bitcoin bật tăng vượt mốc 22.000 USD nhà đầu_tư vẫn chưa_thể thoát khỏi tâm_lý tiêu_cực.
8,[],"Năm 2022 là năm đầu tiên thực_hiện đấu_thầu qua mạng mua lương_thực_DTQG trên hệ thống mạng DTNN_VN đã có nhiều thuận_hiện, bảo_toàn các mặt trong việc thực_hiện nhiệm_vụ, đẶc_bảo_toàn các tiêu_lượng, đảm_bảo_toàn các mặt hàng dự_thực_sản_phát_sản_dự_án."
9,[],"Tại TP. HCM có gần 50 % mẫu rau củ quả phát hiện tồn_dư lượng thuốc bảo_vệ thực_vật, trong đó có hoạt chất ciprofloxacin."
10,[],Nhiều chuyên gia cho rằng việc giá xăng dầu đã được hạ nhiệt nhưng giá hàng_dầu vẫn đứng_như hiện_nay là do các hãng hàng_không thể tự mình quyết định tăng hay giảm giá.
11,[],Không ít vụ án đối_tượng phạm_tội rất nghiêm trọng. Không ít vụ việc đối_tượng phạm_tội rất nghiêm_trọng nên biết trước mức án phạt dành cho mình sẽ không hề nhẹ.
12,[],"Tại buổi lễ quan_trọng này, Chủ_tịch nước Nguyễn_Xuân_Phúc đã chuyển lời tri_ân sâu_sắc đến các anh_hùng liệt_sĩ thương_binh đã hy_sinh vì đất_nước."
13,[],"Trước tình trạng thiếu thuốc ở các bệnh viện, chuyên gia y tế cho rằng có nhiều nguyên_nhân dẫn đến tình trạng này, tuy_nhiên_sau nhiều năm qua dịch_bệnh_nhân vẫn chưa được giải quyết triệt để."
14,[],Nhiều người dùng iPhone cho rằng công_cụ jailbreak iPhone 15 chỉ dành cho những người thích tìm_hiểu và tùy biến iPhone.
15,[],Bảo hiểm y tế ( BHYT ) là chế độ bảo hiểm y tế của Nhà nước nhằm chăm_sóc sức_khỏe nhân dân và đảm bảo an_sinh xã hội.
16,[],Theo báo cáo nhanh về kỳ thi đánh_giá tuyển_sinh CAND năm 2022 của Bộ Công_an kỳ thi đã diễn ra đảm bảo an_toàn nghiêm_túc.
17,[],"Liên quan đến vụ ném xe_đạp công_cộng trên vỉa_hè xuống_đường, sáng 20/7 mạng xã hội lan_truyền đoạn clip nhanh_chóng ghi lại hình ảnh một người mặc đồng_phục bảo_vệ đang lần_lượt quăng những chiếc xe_đạp công_cộng được đỗ trên vỉa_hè xuống_đường."
18,[],Đó là chỉ đạo của ông Trương_Mạnh_Sức Giám_đốc Trung_tâm Kiểm_soát bệnh_tật tỉnh Hà_Nam về các biện pháp phòng_bệnh sốt_xuất_huyết.
19,[],' Quyết_định bỏ_bộ râu gắn_bó với mình hơn 20 năm qua để đóng_phim Đấu_trí. Đây cũng là lần đầu_tiên NSND Trung_Anh đảm_nhiệm vai công_an trên phim_truyền_hình.
20,[],Trong số 41 người có_ mặt tại quán karaoke Mr._Rìn khối_phố Tứ Câu phường Điện_Ngọc thị_xã Điện_Bàn tỉnh Quảng_Nam thì có nhiều cô gái trẻ.
21,[],Á hậu Thảo Nhi Lê_ từng là người Việt được nhiều người hâm mộ yêu thích nhờ phong_cách thời trang sành_điệu.
22,[],Kỳ thi đánh_giá tuyển_sinh đại_học chính quy công_an năm 2022 của Bộ Công_an diễn ra trong buổi sáng 17/7 tại Hà Nội.
23,[],"Tại cuộc họp thường kỳ của Bộ_Tư_pháp chiều 19/7, Phó Tổng_Tổng_ cục Thi_hành án dân sự Nguyễn_Lợi cho biết lâu_nay việc thi_hành án của hai bị_án trong đường_dây đánh_bạc nghìn tỷ đang gặp khó_khăn."
24,[],"Sau một năm im_lại vì vướng vào scandal đời_tư, Jack_Sao_đơn tuyên bố thẳng thừng "" không làm gì cả "" trong MV Ngôi_sao cô_đơn. Tuy nhiên, nhiều người cho rằng, MV của Jack không khác gì đang cổ vũ cho hành_động bạo_lực."
25,[],Qua điều tra của công an các tỉnh thành cho thấy tình_trạng công_dân Việt Nam bị các đối_tượng đưa người sang Campuchia lao_động trái pháp luật và cái kết sau cùng là bị đe_dọa tống_tiền và đòi tiền chuộc.
26,[],"Ukraine cần một loạt các hệ thống vũ_khí mới, Ukraine cần pháo tầm xa máy_bay xe_tăng cùng các loại phương_tiện khác để thực_hoá các cuộc phản_công của Nga."
27,[],Tổng thống Putin lên án Mỹ đã từ lâu tìm_một đối_thủ từ bên ngoài để tạo mối đe_dọa giúp tập_hợp các đồng_minh.
