cluster_id,score,summary
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Lưu_ý với thí_sinh về kỹ_năng làm bài thi môn Ngữ_văn TS Trịnh_Thu_Tuyết nguyên giáo_viên Trường THPT Chu_Văn_An Hà_Nội cho rằng Thay_vì lo_lắng và áp_lực các em cần tích_cực rà_soát những kiến_thức cơ_bản trong chương_trình Ngữ_văn lớp 12 ghi_nhớ những giá_trị nội_dung và nghệ_thuật chính của mỗi bài.Các thầy cô_giáo đã có những lời dặn_dò tâm_huyết để giúp các em đạt được điểm_cao trong các môn thi.Thí_sinh tham_dự kỳ thi tốt_nghiệp THPT năm 2022 là lứa học_trò chịu những tác_động nặng_nề nhất của đại_dịch COVID19 khi cả 3 năm THPT các em phải trải qua khoảng thời_gian dài học online.Các giáo_viên bộ_môn giàu kinh_nghiệm đã có những chia_sẻ mách_nước giúp học_sinh bình_tĩnh có chiến_lược ôn_tập và kỹ_năng làm bài đạt kết_quả cao trong kỳ thi sắp tới.Các thí_sinh hãy nắm chắc cấu_trúc đề ôn thật kĩ từng dạng câu hỏi theo chuyên_đề giống với đề minh_họa của Bộ GDĐT và chú_ý độ khó của từng dạng bài.Cô Nguyễn_Thị_Thanh_Hương giáo_viên môn Tiếng Anh của hệ_thống Giáo_dục HOCMAI cũng đã gợi_ý cho học_sinh những chiến_thuật làm bài thi hiệu_quả.Chỉ còn vài ngày nữa là đến kì_thi tốt_nghiệp THPT quốc_gia để có được sự chuẩn_bị tốt nhất các em cần lưu_ý một_số điểm sau đây.Dạng bài đọc hiểu và đọc điền vốn là 2 dạng bài gây khó_khăn nhất cho các em học_sinh thi môn Tiếng Anh lời khuyên của cô là hãy làm thật chính_xác và hiệu_quả về mặt thời_gian cho những dạng bài còn lại trước từ đó mình có thêm nhiều thời_gian hơn cho 2 dạng bài này
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",Nhiều thương_vong vì nắng nóng khắp châu_Âu.Sự ấm lên ở Bắc_Cực có_thể góp_phần vào hiện_tượng nắng nóng gay_gắt ở châu_Âu theo tiến_sĩ Kornhuber.Đất_nước này được Cơ_quan Quản_lý khí_quyển và đại_dương Mỹ_NOAA hứng_chịu thảm_họa do nhiệt nặng_nề nhất tháng 6 với những đám cháy rừng liên_miên hạn_hán nghiêm_trọng.Hai tháng trước Pháp trải qua tháng 5 nóng nhất trong lịch_sử với mức nhiệt cao kỷ_lục ở một_số thành_phố.Nắng nóng hệ_quả trực_tiếp của biến_đổi khí_hậu.Đến tháng 7 tới lượt Ba_Lan và các vùng ở Đông_Âu hứng_chịu nắng nóng cực đoan.Tuy_nhiên ở ngưỡng tăng 12 độ C hiện_giờ những tác_động của biến_đổi khí_hậu đã được cảm_nhận thấy rất rõ_rệt đặc_biệt ở những tháng hè.Tại Anh ngày 197 là một trong những ngày nóng nhất lịch_sử nóng tới nỗi nhà chức_trách đã phải sợ đường_ray xe_lửa bị cháy do nắng nóng kết_hợp với ma_sát không dám cho tàu chạy nhanh
3,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Thủ_tướng Canada_Justin_Trudeau ngày 227 nói rằng ông không tin Nga sẽ thực_hiện cam_kết trong thỏa_thuận mở lại các cảng của Ukraine ở Biển Đen để xuất_khẩu ngũ_cốc.Cuộc khủng_hoảng ngoại_tệ cùng với dịch_bệnh Covid19 đã khiến Sri_Lanka rơi vào cảnh thiếu điện kéo_dài và lạm_phát tăng cao.Nông_dân_Ukraine sắp bắt_đầu mùa thu_hoạch mới và các kho chứa cần được giải_phóng trước thời_điểm đóTheo Hội_đồng_Ngũ_cốc Quốc_tế_IGC để đảm_bảo có đủ không_gian chứa ngũ_cốc cho mùa vụ mới Ukraine cần giải_phóng khoảng 7 triệu tấn mỗi tháng trong vòng 3 tháng tới.Ngay sau thỏa_thuận được ký giá lúa mỳ trên thị_trường thế_giới đã giảm xuống mức trước khi nổ ra xung_đột ở Ukraine.Theo Quỹ Tiền_tệ quốc_tế IMF_Sri_Lanka đang vay Trung_Quốc ít_nhất 5 tỉ USD vay Ấn_Độ 38 tỉ USD Nhật_Bản 35 tỉ USD và 1 tỉ USD từ các nước giàu khác.Nga đã mở_rộng danh_sách Các quốc_gia không thân_thiện thêm 5 nước nữa bao_gồm Hy Lạp Đan_Mạch Slovenia_Croatia và Slovakia.Châu_Phi sẽ triển_khai tiêm_chủng vaccine sốt_rét quy_mô lớn trong những năm tới với số vốn trị_giá 160 triệu đô la Mỹ từ Liên_minh toàn_cầu về vaccine và tiêm_chủng.Ngay cả khi mở lại Ukraine vẫn cần tìm cách tăng thêm không_gian chứa ngũ_cốc như xây_dựng thêm các nhà_kho mới
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Kết_quả tăng_trưởng GDP của Việt_Nam trong 6 tháng đầu năm 2022 đã diễn ra như đúng dự_báo của Ngân_hàng thế_giới cũng như Tổ_chức quỹ tiền_tệ quốc_tế IMF đưa ra hồi_đầu năm.Còn theo TS Nguyễn_Quốc_Việt trong thời_gian tới áp_lực lạm_phát_hiện_hữu sẽ thể_hiện rõ hơn trong đánh_giá về lạm_phát của Tổng_cục Thống_kê trong quý III và quý IV2022.Đó là tăng_trưởng kinh_tế của Việt_Nam trong năm 2022 có_thể đạt 6 khi hoạt_động kinh_tế bình_thường trở_lại và Chương_trình Phục_hồi và Phát_triển kinh_tế xã_hội được triển_khai thực_hiện.Theo ông trong những năm gần đây thu_nhập và mức_sống của người dân đã thay_đổi nên cơ_cấu chi_tiêu của họ cũng đã thay_đổi rất nhiều.Những nội_dung chi_tiết về sự tăng_trưởng mạnh của GDP Việt_Nam trong 6 tháng đầu năm 2022 vừa_qua cũng đã được đề_cập và phân_tích trong chương_trình Tạp_chí Phát_triển sản_phẩm chủ_lực của Đài_Phát_thanh_truyền_hình Hà_Nội số ra tháng 7 với sự đồng_hành của Tập_đoàn Dầu_khí Việt_Nam Petrovietnam Tổng_công_ty Khí Việt_Nam CTCP_PV_GAS Công_ty cổ_phần Lọc_hóa dầu Bình_Sơn BSR 3 đơn_vị có nhiều đóng_góp và tiếp đà cho sự tăng_trưởng mạnh của các lĩnh_vực vận_tải hành_khách và hàng_hóa.Tốc_độ tăng IIP 6 tháng đầu năm 2022 so với cùng kỳ năm trước của một_số ngành công_nghiệp trọng_điểm Nguồn ảnh Lao_động thủ_đô
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Tại Hà_Nội TP Hồ_Chí_Minh hầu_như không còn căn_hộ chung_cư có giá dưới 25 trm2.Theo Bộ Xây_dựng sau khi hầu_hết các tỉnh_thành trên cả nước trở_về trạng_thái bình_thường mới thị_trường BĐS đã dần sôi_động trở_lại lượng khách_hàng tìm_kiếm và giao_dịch cũng tăng dần.Về lượng tồn_kho BĐS hiện còn khoảng 2300 căn nhà ở trong các dự_án đưa ra giao_dịch trên thị_trường nhưng còn tồn_đọng chưa có giao_dịch vào cuối năm 2021 ít hơn nhiều so với năm 2020 là khoảng 9000 căn.Trong đó Báo_cáo chỉ rõ giá BĐS đặc_biệt là nhà ở đất ở liên_tục tăng và cao hơn so với thu_nhập của người dân
6,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Phía vườn thú Hellabrunn một lần nữa cử chuyên_gia sang thăm lại 06 cá_thể và đánh_giá Vinpearl Safari Phú_Quốc rất cao khi có_thể chăm_sóc được loài thú quý_hiếm này trong điều_kiện lý_tưởng bậc nhất hiện_nay.Với những nỗ_lực không ngừng nghỉ Vinpearl_Safari trở_thành mái_ấm của rất nhiều loài hoang_dã quý_hiếm.Đây là loài động_vật nằm trong chương_trình hợp_tác bảo_tồn nhân_giống giữa Vinpearl Safari Phú_Quốc_Hiệp_hội vườn thú và thủy cung Đông_Nam_Á_SEAZA và Hiệp_hội vườn thú và thủy cung châu_Âu EAZA.Không đơn_thuần là công_viên chăm_sóc động_vật lớn_lao hơn Vinpearl Safari Phú_Quốc còn là ngôi nhà hạnh_phúc của công_tác bảo_tồn mảnh đất lành cho các loài thú hoang_dã từ khắp năm châu
7,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Ngày 197 đồng coin hàng_đầu thế_giới đã tăng khoảng 68 lên mức 23000 USD.Đây cũng là giá của Bitcoin vào giữa tháng 6 trước khi liên_tục tụt dốc không phanh.Khi đó Bitcoin mất mốc hỗ_trợ 30000 USD lao dốc về 25228 USD.Sau cú sập của thị_trường tiền số hồi tháng 6_dữ_liệu từ Alternative cho thấy chỉ_số Bitcoin_Fear_and_Greed index chạm mốc 8100 điểm vào ngày 146.Đồng coin được giao_dịch ở mức 22220 USD vào lúc 10 h27 tại Tokyo
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Hiện gạo nhập kho đã được đưa vào bảo_quản đảm_bảo chất_lượng đáp_ứng kịp_thời công_tác DTQG.Đến hết ngày 852022 Cục DTNN khu_vực Đông_Bắc đã hoàn_thành mua nhập kho 10500 tấn gạo tại 5 chi_cục trực_thuộc gồm Hải An Kiến_An Vĩnh Tiên Quảng_Ninh đảm an_toàn đủ số_lượng tốt về chất_lượng vượt tiến_độ thời_gian.Cục DTNN khu_vực Đông_Bắc cho biết công_tác bảo_quản hàng_hóa_DTQG được đơn_vị tổ_chức thực_hiện nghiêm_túc đúng quy_trình quy_phạm từ khâu nhập bảo_quản đến khâu xuất kho.Hàng dự_trữ quốc_gia được đảm_bảo chất_lượng tốt.Ngay đầu năm 2022 đơn_vị triển_khai công_tác kiểm_tra mùa xuân theo đúng thời_gian yêu_cầu của Tổng_cục với kết_quả tốt hàng_hóa đảm_bảo an_toàn công_tác kiểm_tra chất_lượng hàng_hóa khi nhập xuất kho đều được thực_hiện đúng quy_trình đảm_bảo chất_lượng hàng_hóa_nhập xuất kho theo đúng tiêu_chuẩn của ngành.Theo bà_Hoàng_Thị_Mai_Phó Cục_trưởng Cục DTNN khu_vực Đông_Bắc trong suốt quá_trình nhập hàng cục đã tranh_thủ điều_kiện thời_tiết thuận_lợi thường_xuyên đôn_đốc khách_hàng đẩy nhanh tiến_độ nhập kho đồng_thời chỉ_đạo các phòng nghiệp_vụ và các chi_cục DTNN trực_thuộc tăng_cường phối_hợp kiểm_tra giám_sát chất_lượng gạo nhập kho năm 2022.Để đảm_bảo chất_lượng hàng_hóa dự_trữ khi xuất cấp hỗ_trợ cứu_trợ Cục DTNN khu_vực TP Hồ_Chí_Minh đã tập_trung tăng_cường công_tác kiểm_tra giám_sát chất_lượng hàng_hóa_nhập xuất kho.Đến ngày 842022 chuyến hàng đầu_tiên đã nhập kho tại Chi_cục DTNN_Hải_An đảm_bảo chất_lượng
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Quá_trình này phát_hiện gần 50 mẫu rau củ quả tại TPHCM tồn_dư_lượng hóa_chất như hoạt_chất carbendazim trị nấm trên cải bó xôi cà_chua cải ngọt cải_thìa cải xanh mồng_tơi húng cây rau_dền.Rau củ quả tại chợ đầu_mối.Ban Quản_lí an_toàn thực_phẩm TPHCM cho biết kết_quả kiểm_nghiệm cho thấy sản_phẩm rau_quả phát_hiện cùng lúc tồn_dư dư_lượng thuốc bảo_vệ thực_vật của nhiều hoạt_chất 16 mẫu trong đó có sản_phẩm phát_hiện đến 07 hoạt_chất thuốc bảo_vệ thực_vật
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",Hay như vấn_đề về hàng_loạt phụ_phí mà Grab đưa ra trong thời_gian qua cũng được đánh_giá là hình_thức tăng_thu tận_dụng lợi_thế chi_phối thị_trường và đưa khách_hàng vào thế bị_động.Theo thông_tin từ Bộ Công_Thương dù đã quá thời_hạn giải_trình mức phí và phụ_phí thu thêm gần đây Grab vẫn chưa báo_cáo và xin lùi thời_gian trả_lời Cục Cạnh_tranh và Bảo_vệ người tiêu_dùng.Thực_tế cho thấy phụ_phí nắng nóng của Grab là sự kéo_dài những phụ_phí hãng này từng thu của khách như giờ cao_điểm kẹt xe Tết với múc thu từ 10000_–_15000 đồngchuyến.Sở dĩ người sử_dụng dịch_vụ bất_bình vì trong bối_cảnh bão giá như hiện_nay quyết_định thu thêm phí của Grab dựa trên căn_cứ nào.Bên_cạnh đó Grab thu phụ_phí nắng nóng hay trước đó là phụ_phí xét_nghiệm Covid19 cũng khiến cho người tiêu_dùng trở_nên căng_thẳng hơn khi có nhu_cầu sử_dụng dịch_vụ.Chuyên_gia này đặt vấn_đề thay_vì vẽ thêm dịch_vụ để thu phí tại_sao các hãng không nâng cao năng_lực khai_thác bằng cách đẩy_mạnh dịch_vụ làm thủ_tục online.Phụ_phí sẽ áp_dụng cho từng đơn hàng trong chuyến xe đồng_thời được cộng trực_tiếp vào giá cước tại những thời_điểm thời_tiết nắng nóng gay_gắt.Cũng liên_quan đến phụ_phí dịch_vụ mới_đây thông_tin Grab phụ_thu phí nắng nóng đã khiến nhiều người tiêu_dùng bức_xúc
