cluster_id,score,summarymà
1,"[1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Chỉ còn vài ngày nữa các em thực_sự bước vào kì_thi Tốt_nghiệp THPT với môn thi đầu_tiên là môn Ngữ_văn áp_lực với kì_thi nói_chung với môn Ngữ_văn nói_riêng là không tránh khỏi.Lưu_ý với thí_sinh về kỹ_năng làm bài thi môn Ngữ_văn TS Trịnh_Thu_Tuyết nguyên giáo_viên Trường THPT Chu_Văn_An Hà_Nội cho rằng Thay_vì lo_lắng và áp_lực các em cần tích_cực rà_soát những kiến_thức cơ_bản trong chương_trình Ngữ_văn lớp 12 ghi_nhớ những giá_trị nội_dung và nghệ_thuật chính của mỗi bài.Tuy_nhiên đây cũng là thời_điểm lúa sắp gặt trái sắp chín công_sức bao_lâu sắp hiện trong thành_quả của một kì_thi thành_công và cô chỉ muốn nhắc các em vài điều cụ_thể sau đây.Dạng bài đọc hiểu và đọc điền vốn là 2 dạng bài gây khó_khăn nhất cho các em học_sinh thi môn Tiếng Anh lời khuyên của cô là hãy làm thật chính_xác và hiệu_quả về mặt thời_gian cho những dạng bài còn lại trước từ đó mình có thêm nhiều thời_gian hơn cho 2 dạng bài này.Các em tự kiểm_tra lại hệ_thống kỹ_năng đáp_ứng từng kiểu loại câu hỏi trong đề thi nên ôn_tập theo các đơn_vị kiến_thức cơ_bản trong mô_hình đề thi mấy năm nay với 3_phần đó là bài đọc hiểu viết đoạn văn nghị_luận xã_hội viết bài_văn nghị_luận văn_học.Thay_vì lo_lắng và áp_lực các em cần tích_cực rà_soát lại một lần nữa những đơn_vị kiến_thức cơ_bản trong chương_trình Ngữ_văn lớp 12 ghi_nhớ những giá_trị nội_dung và nghệ_thuật chính của mỗi bài.Chỉ còn vài ngày nữa là đến kì_thi tốt_nghiệp THPT quốc_gia để có được sự chuẩn_bị tốt nhất các em cần lưu_ý một_số điểm sau đây.Trong trường_hợp_đề thi được nâng cao hơn về độ khó thì đó là cái khó chung nên về cơ_bản sẽ không làm thay_đổi thứ_hạng và kết_quả tuyển_sinh vào đại_học của các thí_sinh nên không cần phải bận_tâm.TS. Trịnh_Thu_Tuyết nguyên giáo_viên dạy Ngữ_văn Trường THPT Chu_Văn_An Hà_Nội nhắc các em những điểm cốt_yếu để làm tốt bài thi Ngữ_văn môn thi đầu_tiên của kỳ thi.Thí_sinh tham_dự kỳ thi tốt_nghiệp THPT năm 2022 là lứa học_trò chịu những tác_động nặng_nề nhất của đại_dịch COVID-19 khi cả 3 năm THPT các em phải trải qua khoảng thời_gian dài học online.Cô Nguyễn_Thùy_Linh giáo_viên môn Sinh_học Sau khi làm xong thì nên kiểm_tra lại 2-3 lần.Các em học_sinh hãy nắm chắc cấu_trúc đề ôn thật kĩ từng dạng câu hỏi theo chuyên_đề giống với đề minh_họa của Bộ GD&ĐT và chú_ý độ khó của từng dạng bài.Thay_vì lo_lắng và áp_lực các em cần rà_soát lại các kiến_thức cơ_bản trong chương_trình Ngữ_văn lớp 12 ghi_nhớ những giá_trị nội_dung và nghệ_thuật chính của mỗi bài.Trong quá_trình làm bài thi thí_sinh cần lưu_ý đọc kỹ đề vì nếu đọc đề_bài một_cách sơ_sài sẽ dẫn đến những nhầm_lẫn đáng tiếc.Trong quá_trình làm đề cần lưu_ý hoàn_thiện kĩ_thuật tính_toán sao cho nhanh và chính_xác.TS Trịnh_Thu Tuyết Rà_soát lại một lần nữa những đơn_vị kiến_thức cơ_bản.Nháp thẳng vào đề thi Để tránh nhầm_lẫn trong quá_trình tính_toán các em nên kí_hiệu các đại_lượng đề_bài đã cho ngay trên đề thi đồng_thời đổi đơn_vị và ghi công_thức cần tính ngay trên đề.Cuối_cùng thầy chúc các em tham_gia kỳ thi trong trạng_thái tốt nhất gặp nhiều may_mắn trong quá_trình thi và đạt được kết_quả cao nhất trong kỳ thi hết_sức quan_trọng này.Học_sinh cần đặc_biệt chú_ý đảm_bảo hai yêu_cầu về nội_dung và hình_thức của đoạn văn Về nội_dung chỉ nghị_luận một khía_cạnh một bình_diện của vấn_đề nguyên_nhân ý_nghĩa hậu_quả giải_pháp bài_học về hình_thức cần viết đúng cấu_trúc đoạn viết đúng dung_lượng theo yêu_cầu trong câu_lệnh của đề_bài
2,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","Nhiệt_kế đã chỉ 40,3_độ C tại hạt Lincolnshire miền trung nước Anh vào lúc 4 giờ chiều giờ_địa_phương cao hơn gần 2 độ so với nhiệt_độ kỷ_lục cũ năm 2019.Anh lần đầu ghi_nhận nắng nóng trên 40 độ C.Bộ_trưởng Bộ Giao_thông Anh quốc Grant_Shapps chỉ ra rằng hạ_tầng đường_sắt tại Anh không_thể đối_mặt với nắng nóng cực_đoan và sẽ cần rất nhiều năm để những nâng_cấp cần_thiết được hoàn_thành.Kết_quả nghiên_cứu này cho thấy sóng nhiệt ở châu_Âu đã gia_tăng cả về tần_suất và cường_độ trong 40 năm qua.Sóng nhiệt là tình_trạng nhiệt_độ duy_trì trên 40 độ C rất dễ dẫn đến sốc nhiệt có nguy_cơ tử_vong nếu không được cấp_cứu kịp_thời.Ví_dụ của Anh Tây Ban_Nha và Bồ_Đào Nha với nhiệt_độ trên_dưới 40 độ C là một lời nhắc_nhở đanh_thép về sự cấp_bách của những hành_động nghiêm_túc từ chúng_ta nếu không muốn chịu những kỷ_lục nhiệt_độ mới.Hai tháng trước Pháp trải qua tháng 5 nóng nhất trong lịch_sử với mức nhiệt cao kỷ_lục ở một_số thành_phố.Nền nhiệt cao tác_động xấu đến nhiều mặt của đời_sống người dân đất_nước này từ giao_thông tới y_tế và giáo_dục.Đến tháng 7_, tới lượt Ba_Lan và các vùng ở Đông_Âu hứng_chịu nắng nóng cực_đoan.Vùng địa_cực trước đây lạnh_giá nay cũng không thoát khỏi những đám cháy vì nóng và hạn_hán.Tới chiều ngày 19/7 đã có 34 địa_phương phá vỡ mức nhiệt kỷ_lục trước đó"
3,"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Thủ_tướng Sri_Lanka_Dinesh_Gunawardena cùng 17 bộ_trưởng đã tuyên_thệ nhậm_chức trước tân Tổng_thống Ranil_Wickremesinghe.Ông Gunawardena sẽ kiêm nhiệm_chức Thủ_tướng và vị_trí Bộ_trưởng Hành_chính_công Nội_vụ Hội_đồng các tỉnh và chính_quyền địa_phương.Theo kết_quả kiểm_phiếu Thủ_tướng Prayuth_Chan-ocha đã nhận được 256 phiếu ủng_hộ 206 phiếu phản_đối và 9 phiếu trắng qua đó giành được sự ủng_hộ cần_thiết để tiếp_tục giữ cương_vị người đứng đầu chính_phủ cho đến khi nhiệm_kỳ của ông kết_thúc vào tháng 3/2023.THÁCH_THỨC KHI ĐƯA NGŨ_CỐC UKRAINE RA THỊ_TRƯỜNG THẾ_GIỚI.Theo trang_web của Chính_phủ Nga Thủ_tướng Mikhail_Mishustin đã ký ban_hành sắc_lệnh bổ_sung các nước này vào danh_sách trên do có những hành_động không thân_thiện chống lại nước Nga các công_ty và công_dân Nga.Ông MARIELA_CASTRO_ESPIN Giám_đốc trung_tâm giáo_dục giới_tính quốc_gia Cuba Đây là một bộ_luật tuyệt_vời.Các nhà tổ_chức cho biết 62 người tham_gia đã bày_tỏ sự ủng_hộ.Một cuốn sách có tựa_đề '_Revenge_' hay Báo_thù hứa_hẹn sẽ tiết_lộ những chi_tiết về mối quan_hệ rạn_nứt giữa gia_đình Sussex và hoàng_gia Anh đã có_mặt trên các kệ sách trên khắp Vương_quốc Anh.Mặc_dù có những tín_hiệu tích_cực song giới phân_tích nhận_định vẫn còn nhiều thách_thức trong việc chuyển hàng triệu tấn ngũ_cốc từ các cảng Biển Đen ra thị_trường thế_giới.Tổng_thống Thổ Nhĩ Kỳ TAYYIP_ERDOGAN Đảm_bảo_an_ninh nguồn cung lương_thực trên toàn thế_giới là rất quan_trọng.Thủ_tướng Thái_Lan Prayuth_Chan-ocha và 10 thành_viên Nội_các hôm_nay đã vượt qua cuộc bỏ_phiếu bất_tín_nhiệm tại Quốc_hội.Bà MATSHIDISO_MOETI Giám_đốc WHO khu_vực Châu_Phi Cứ mỗi phút lại có một trẻ_em chết vì bệnh sốt_rét ở Châu_Phi.TÂN THỦ_TƯỚNG SRI LANKA TUYÊN_THỆ NHẬM_CHỨC.Bà EVA WEBER Thị_trường Augsburg Điều quan_trọng là phải để người dân Augsburg thấy rằng chúng_tôi có_thể đang phải đối_mặt với giai_đoạn vô_cùng khó_khăn
4,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Kết_quả tăng_trưởng kinh_tế trong quý II 2022 là 7,72 mức tăng cao nhất trong hơn 10 năm qua góp_phần thúc_đẩy GDP 6 tháng tăng 6,42.Bởi_vì trong 6 tháng đầu năm đặc_biệt là trong quý II giá_cả của rất nhiều mặt_hàng đã tăng cao nhất_là giá xăng_dầu vật_tư nguyên_liệu nhập_khẩu ảnh_hưởng rất lớn đến nền kinh_tế.Do_đó mục_tiêu tăng_trưởng 6,5 đặt ra cho năm 2022 vào thời_điểm đầu năm được xem như_là một thách_thức lớn khi kinh_tế trong nước đang phục_hồi tích_cực nhưng chưa như kì_vọng.Những nội_dung chi_tiết về sự tăng_trưởng mạnh của GDP Việt_Nam trong 6 tháng đầu năm 2022 vừa_qua cũng đã được đề_cập và phân_tích trong chương_trình Tạp_chí Phát_triển sản_phẩm chủ_lực của Đài_Phát_thanh_truyền_hình Hà_Nội số ra tháng 7 với sự đồng_hành của Tập_đoàn Dầu_khí Việt_Nam Petrovietnam Tổng_công_ty Khí Việt_Nam CTCP PV_GAS Công_ty cổ_phần Lọc_hóa dầu Bình_Sơn BSR 3 đơn_vị có nhiều đóng_góp và tiếp đà cho sự tăng_trưởng mạnh của các lĩnh_vực vận_tải hành_khách và hàng_hóa.Tổng_cục Thống_kê cũng nhận_định hiện_tại tình_hình lạm_phát tương_đối ổn trong 6 tháng nhưng áp_lực hiện_hữu có_thể cao hơn trong giai_đoạn quý III và quý IV 2022 khi cầu đã phục_hồi cả trong nước và xu_thế các doanh_nghiệp vẫn duy_trì được đà sản_xuất kinh_doanh.Vận_tải hành_khách và hàng_hóa phục_hồi mạnh_mẽ do nhu_cầu đi_lại và đi du_lịch của người dân tăng cao"
5,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",Dự hội_nghị tại điểm cầu Văn_phòng Chính_phủ có Phó_Thủ_tướng Lê_Minh_Khái Bộ_trưởng Chủ_nhiệm Văn_phòng Chính_phủ Trần_Văn_Sơn Bộ_trưởng Bộ Xây_dựng Nguyễn_Thanh_Nghị Thống_đốc Ngân_hàng nhà_nước Việt_Nam Nguyễn_Thị_Hồng lãnh_đạo các bộ ngành Tài_chính Tài_nguyên_và_Môi_trường Công_an Kế_hoạch và Đầu_tư ... đại_diện các hiệp_hội chuyên_gia trong lĩnh_vực tài_chính bất_động_sản.Chiều 14/7 Thủ_tướng Phạm_Minh_Chính chủ_trì Hội_Nghị phát_triển thị_trường bất_động_sản an_toàn lành_mạnh bền_vững.Để thị_trường bất_động_sản phát_triển ổn_định lành_mạnh bên cạnh sửa_đổi Luật_Kinh_doanh bất_động_sản để tạo khung pháp_lý tăng_cường hiệu_quả quản_lý thị_trường Bộ Xây_dựng đề_nghị các địa_phương thực_hiện công_khai minh_bạch_thông_tin quy_hoạch xây_dựng danh_mục tiến_độ triển_khai các dự_án phát_triển cơ_sở_hạ_tầng các dự_án bất_động_sản đặc_biệt là các dự_án lớn và việc sáp_nhập thành_lập nâng_cấp đơn_vị hành_chính tại địa_phương ngăn_chặn hiện_tượng tung tin đồn_thổi đầu_cơ nhằm đẩy giá để trục_lợi bất_hợp_pháp.Bộ Xây_dựng cho biết để đảm_bảo thị_trường BĐS phát_triển ổn_định lành_mạnh hiệu_quả và bền_vững Bộ đề_xuất các giải_pháp và nhiệm_vụ cụ_thể đối_với từng Bộ ngành và các địa_phương
6,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Đây là loài động_vật nằm trong chương_trình hợp_tác bảo_tồn nhân_giống giữa Vinpearl Safari Phú_Quốc Hiệp_hội vườn thú và thủy cung Đông_Nam_Á SEAZA và Hiệp_hội vườn thú và thủy_cung_châu_Âu EAZA.Vinpearl Safari đang chăm_sóc hai cá_thể đười_ươi Sumatra vô_cùng đặc_biệt là Suaq và Surya vốn là loài ở tình_trạng bảo_tồn nguy_cấp.Phía vườn thú Hellabrunn một lần nữa cử chuyên_gia sang thăm lại 06 cá_thể và đánh_giá Vinpearl Safari Phú_Quốc rất cao khi có_thể chăm_sóc được loài thú quý_hiếm này trong điều_kiện lý_tưởng bậc nhất hiện_nay.Vào tháng 2/2017 Vinpearl Safari Phú_Quốc tiếp_nhận chăm_sóc và bảo_tồn 6 cá_thể khỉ đầu chó mặt xanh Mandrill bao_gồm con đực Jo_,_5 cá_thể cái Inge Mette Kara Katja và Lana từ vườn thú Hellabrunn của Đức"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Bitcoin đã phải chật_vật để thoát khỏi vùng giá 19.000 20.000 USD sau khi Cục Dự_trữ Liên_bang Mỹ Fed thắt chặt chính_sách tiền_tệ và nhiều công_ty cho vay tiền điện_tử lớn sụp_đổ.Ether tiền mã_hóa có vốn hóa lớn chỉ sau Bitcoin tăng gần 11 chạm mốc 1.631 USD đồng.Sau cú sập của thị_trường tiền số hồi tháng 6 dữ_liệu từ Alternative cho thấy chỉ_số Bitcoin_Fear_and_Greed index chạm mốc 8/100 điểm vào ngày 14/6.Edward Moya nhà phân_tích thị_trường cấp cao tại Oanda_Corp cho rằng Bitcoin lấy lại mốc 22.000 USD nhờ một_số người bán khống short quyết_định dừng lại.Ngày 19/7 đồng coin hàng_đầu thế_giới đã tăng khoảng 6,8 lên mức 23.000 USD"
8,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",Ông Nguyễn_Minh_Trí đơn_cử trong công_tác mua nhập lương_thực dự_trữ quốc_gia DTQG do ảnh_hưởng của dịch Covid-19 trên toàn thế_giới xu_hướng tích_trữ lương_thực của các quốc_gia_tăng xuất_khẩu tăng làm cho giá gạo xuất_khẩu tăng khiến thị_trường trong nước giá liên_tục biến_động nên việc phối_hợp với Sở Tài_chính xây_dựng phương_án giá_mua lương_thực của đơn_vị còn gặp nhiều khó_khăn.Đề_cập tới công_tác nhập mua 8.500 tấn gạo dự_trữ quốc_gia DTQG theo kế_hoạch năm 2022 ông Hạ_Văn_Cơ Cục_trưởng Cục Dự_trữ Nhà_nước DTNN khu_vực Hoàng_Liên_Sơn cho biết cùng với các đơn_vị trong ngành DTNN năm 2022 là năm đầu_tiên đơn_vị thực_hiện đấu_thầu mua gạo DTQG trên hệ_thống mạng đấu_thầu quốc_gia nên trong quá_trình thực_hiện còn nhiều vấn_đề chưa hiểu đúng đơn_vị thường_xuyên phải tham_khảo ý_kiến các vụ chuyên_môn của Tổng_cục DTNN.Cục_trưởng Nguyễn_Minh_Trí chia_sẻ khi triển_khai mua lương_thực_đơn_vị đã tham_khảo_giá lương_thực theo tiêu_chuẩn dự_trữ của Sở Tài_chính tỉnh Long_An tỉnh Đồng_Nai đồng_thời cập_nhật thông_tin về giá lương_thực qua các phương_tiện_thông_tin_đại_chúng để dự_báo xác_định kịp_thời về giá_mua lương_thực báo_cáo Tổng_cục DTNN ra quyết_định giá mua lương_thực năm 2022 phù_hợp.Căn_cứ vào kế_hoạch nhập xuất và tồn_kho hàng_hóa vật_tư DTNN và các nhu_cầu thiết_thực_tại đơn_vị quy_định mức chi cho nhóm các nội_dung chi đối_với chi_phí bảo_quản hàng DTQG kịp_thời đúng theo các quy_định hiện_hành của nhà_nước Bộ_Tài_chính và ngành DTNN.Hay trong công_tác xuất gạo hỗ_trợ học_sinh theo Quyết_định số 470 QĐ-TCDT của Tổng_cục Dự_trữ Nhà_nước DTNN về việc ban_hành quy_trình lập dự_toán quyết_toán chi_phí hàng DTQG cứu_trợ viện_trợ yêu_cầu Hồ_sơ cung_cấp bao_bì đóng_gói bốc_xếp bảo_hiểm khi lập dự_toán phải có 3 báo_giá mà số_lượng gạo đơn_vị xuất bổ_sung hỗ_trợ cho học_sinh của các tỉnh ít phí bảo_hiểm vận_chuyển ít chỉ vài chục nghìn nên không doanh_nghiệp bảo_hiểm nào cung_cấp báo_giá ảnh_hưởng tới quy_trình tiến_độ thực_hiện công_việc của Cục DTNN khu_vực TP. Hồ_Chí_Minh.Ông Nguyễn_Minh_Trí cho biết năm 2022 công_tác đấu_thầu qua mạng mua lương_thực_DTQG tại đơn_vị khác với các năm trước do đây là năm đầu_tiên thực_hiện việc mua lương_thực được thực_hiện bằng hình_thức đấu_thầu qua mạng nên đơn_vị cũng còn lúng_túng trong việc đánh_giá hồ_sơ dự_thầu.Hoàn_thành nhập kho dự_trữ quốc_gia 10.500 tấn gạo.Trong 6 tháng đầu năm Cục Dự_trữ Nhà_nước khu_vực Hoàng_Liên_Sơn đã thực_hiện xuất cấp hơn 7.471 tấn gạo dự_trữ quốc_gia_nhập kho năm 2021 hoàn_thành 100_% chỉ_tiêu kế_hoạch giao
9,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Trong báo_cáo tổng_kết 6 năm thí_điểm thành_lập Ban Quản_lí an_toàn thực_phẩm TP.HCM cho biết đã lấy 2140 mẫu các sản_phẩm tham_gia Chuỗi thực_phẩm an_toàn gửi kiểm_tra.Ban Quản_lí an_toàn thực_phẩm TP.HCM cho biết kết_quả kiểm_nghiệm cho thấy sản_phẩm rau_quả phát_hiện cùng lúc tồn_dư dư_lượng thuốc bảo_vệ thực_vật của nhiều hoạt_chất 16 mẫu trong đó có sản_phẩm phát_hiện đến 07 hoạt_chất thuốc bảo_vệ thực_vật.Qua kiểm_tra đơn_vị này ghi_nhận có 7 mẫu sản_phẩm phát_hiện tồn_dư trong mức giới_hạn và 14/2140 mẫu tồn_dư hóa_chất có tên trong danh_mục cấm sử_dụng
10,"[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Theo đó một_số hãng hàng_không như Vietjet Bamboo_Airways_… vừa triển_khai dịch_vụ thu thêm 100.000 140.000 đồng tùy chuyến đối_với khách muốn làm thủ_tục nhanh ở Sân_bay Tân_Sơn_Nhất.Được đánh_giá là sự lựa_chọn thêm cho khách song dịch_vụ thu phí check in nhanh lại gây tranh_cãi khi nhiều người cho rằng như_vậy là có sự phân_biệt thậm_chí không công_bằng với khách_hàng.Cụ_thể một_số hãng hàng_không như Vietjet Bamboo_Airways_… vừa triển_khai dịch_vụ thu thêm 100.000_–_140.000 đồng tùy chuyến đối_với khách muốn làm thủ_tục nhanh ở sân_bay Tân_Sơn_Nhất.Chưa kể nếu đa_phần hành_khách chấp_nhận bỏ thêm tiền để check in nhanh thì khi đó sẽ là khoản phụ_thu bắt_buộc chứ không phải là sự lựa_chọn.Quay trở_lại câu_chuyện hiện_nay trong bối_cảnh nhu_cầu đi_lại lớn sân_bay đông nghẹt khách_hàng chờ_đợi để làm thủ_tục check in ông Long cho rằng việc một_số hãng hàng_không triển_khai dịch_vụ ưu_tiên làm thủ_tục nhanh có trả phí là vẽ ra để tăng nguồn thu khách_hàng có tiền sẽ được ưu_tiên.Bởi cùng một loại vé những lúc đông khách một bên phải chờ_đợi cả giờ một bên được ưu_tiên phục_vụ sau khi đóng thêm phí.Đồng_thời việc khách chấp_nhận chi tiền để check-in nhanh sẽ dễ dẫn đến hãng bay cố_tình làm chậm_trễ để thu lợi nhiều hơn.Các hãng bay riển khai thêm dịch_vụ thu phí để ưu_tiên làm thủ_tục nhanh đang gây bức_xúc cho nhiều khách_hàng.Theo thông_tin từ Bộ Công_Thương dù đã quá thời_hạn giải_trình mức phí và phụ_phí thu thêm gần đây Grab vẫn chưa báo_cáo và xin lùi thời_gian trả_lời Cục Cạnh_tranh và Bảo_vệ người tiêu_dùng.Tuy_nhiên Bộ_GTVT đã bác_bỏ đề_nghị này vì tăng phụ_phí thực_chất là tăng_giá vé máy_bay của hành_khách.Đơn_cử như vấn_đề hãng bay ưu_tiên làm thủ_tục nhanh cho một_số hành_khách buộc số đông còn lại sẽ làm chậm hơn
