cluster_id,score,summary
1,"[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Thay vì lo lắng và áp lực, các em cần tích cực rà soát lại một lần nữa những đơn vị kiến thức cơ bản trong chương trình Ngữ văn lớp 12, ghi nhớ những giá trị nội dung và nghệ thuật chính của mỗi bài..Tuy nhiên, đây cũng là thời điểm ""lúa sắp gặt, trái sắp chín"", công sức bao lâu sắp hiện trong thành quả của một kì thi thành công, và cô chỉ muốn nhắc các em vài điều cụ thể sau đây:.Chỉ còn vài ngày nữa, các em thực sự bước vào kì thi Tốt nghiệp THPT, với môn thi đầu tiên là môn Ngữ văn, áp lực với kì thi nói chung, với môn Ngữ văn nói riêng là không tránh khỏi..Dạng bài đọc hiểu và đọc điền vốn là 2 dạng bài gây khó khăn nhất cho các em học sinh thi môn Tiếng Anh, lời khuyên của cô là hãy làm thật chính xác và hiệu quả về mặt thời gian cho những dạng bài còn lại trước, từ đó mình có thêm nhiều thời gian hơn cho 2 dạng bài này..Để đạt được kết quả tốt nhất nhất với bài thi tốt nghiệp THPT môn Vật lí thì ngoài việc nắm vững hệ thống kiến thức và thành thạo các kĩ năng làm bài, các em cần chuẩn bị tâm lí vững vàng, tránh căng thẳng dẫn đến những sai sót không đáng có..Lưu ý với thí sinh về kỹ năng làm bài thi môn Ngữ văn, TS Trịnh Thu Tuyết, nguyên giáo viên Trường THPT Chu Văn An (Hà Nội) cho rằng: Thay vì lo lắng và áp lực, các em cần tích cực rà soát những kiến thức cơ bản trong chương trình Ngữ văn lớp 12, ghi nhớ những giá trị nội dung và nghệ thuật chính của mỗi bài..Chỉ còn vài ngày nữa là đến kì thi tốt nghiệp THPT quốc gia, để có được sự chuẩn bị tốt nhất, các em cần lưu ý một số điểm sau đây:.Các em học sinh hãy nắm chắc cấu trúc đề, ôn thật kĩ từng dạng câu hỏi theo chuyên đề giống với đề minh họa của Bộ giáo dục, và chú ý độ khó của từng dạng bài."
2,"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","Nhiệt kế đã chỉ 40,3 độ C tại hạt Lincolnshire, miền trung nước Anh vào lúc 4 giờ chiều (giờ địa phương), cao hơn gần 2 độ so với nhiệt độ kỷ lục cũ năm 2019..Vùng địa cực trước đây lạnh giá, nay cũng không thoát khỏi những đám cháy vì nóng và hạn hán..Anh lần đầu ghi nhận nắng nóng trên 40 độ C.Sở Cứu hỏa London đã ra thông báo khẩn khi nhiều vụ cháy xảy ra khắp thủ đô, nhiều khu vực của nước Anh cũng đã bị ngắt quãng dịch vụ điện..Bộ trưởng Bộ Giao thông Anh quốc Grant Shapps chỉ ra rằng hạ tầng đường sắt tại Anh không thể đối mặt với nắng nóng cực đoan và sẽ cần ""rất nhiều năm"" để những nâng cấp cần thiết được hoàn thành..Sóng nhiệt là tình trạng nhiệt độ duy trì trên 40 độ C, rất dễ dẫn đến sốc nhiệt, có nguy cơ tử vong nếu không được cấp cứu kịp thời..Tại Anh, ngày 19-7 là một trong những ngày nóng nhất lịch sử, nóng tới nỗi nhà chức trách đã phải sợ đường ray xe lửa bị cháy do nắng nóng kết hợp với ma sát, không dám cho tàu chạy nhanh..Dù vậy, họ cho rằng sóng nhiệt ở châu Âu đang ngày một gia tăng về tần suất và cường độ, với tốc độ nhanh hơn hầu hết khu vực khác trên Trái Đất, bao gồm miền Tây nước Mỹ."
3,"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Thủ tướng Sri Lanka Dinesh Gunawardena cùng 17 bộ trưởng đã tuyên thệ nhậm chức trước tân Tổng thống Ranil Wickremesinghe..Cuộc khủng hoảng ngoại tệ cùng với dịch bệnh Covid-19 đã khiến Sri Lanka rơi vào cảnh thiếu điện kéo dài và lạm phát tăng cao..Theo Quỹ Tiền tệ quốc tế (IMF), Sri Lanka đang vay Trung Quốc ít nhất 5 tỉ USD, vay Ấn Độ 3,8 tỉ USD, Nhật Bản 3,5 tỉ USD, và 1 tỉ USD từ các nước giàu khác..TÂN THỦ TƯỚNG SRI LANKA TUYÊN THỆ NHẬM CHỨC.Đây là cuộc bỏ phiếu bất tín nhiệm thứ tư kể từ khi ông Prayuth Chan-ocha lên nắm quyền sau cuộc bầu cử năm 2019..Quốc gia với 22 triệu dân này cũng trải qua nhiều tháng thiếu lương thực, nhiên liệu và thuốc men..Do đó, giới phân tích nhận định, sẽ là một nhiệm vụ đầy khó khăn nếu bắt đầu vận chuyển 5 tấn ngũ cốc trong tháng đầu tiên sau khi mở cửa trở lại tuyến hàng hải ở Biển Đen..Dưới sự điều phối của WHO, Ghana, Kenya và Malawi đã tiêm vaccine sốt rét đầu tiên trên thế giới cho hơn 1,3 triệu trẻ em kể từ năm 2019, giảm đáng kể số ca tử vong liên quan đến sốt rét."
4,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","Bởi vì trong 6 tháng đầu năm, đặc biệt là trong quý II, giá cả của rất nhiều mặt hàng đã tăng cao, nhất là giá xăng dầu, vật tư nguyên liệu nhập khẩu, ảnh hưởng rất lớn đến nền kinh tế..Kết quả tăng trưởng kinh tế trong quý II/2022 là 7,72% - mức tăng cao nhất trong hơn 10 năm qua, góp phần thúc đẩy GDP 6 tháng tăng 6,42%..Do đó, mục tiêu tăng trưởng 6,5% đặt ra cho năm 2022 vào thời điểm đầu năm được xem như là một thách thức lớn khi kinh tế trong nước đang phục hồi tích cực nhưng chưa như kì vọng..“Lạm phát và tác động của tăng giá nguyên vật liệu 6 tháng đầu năm chưa phản ảnh vào hết toàn bộ khó khăn của nền kinh tế và nó tiềm ẩn, tác động đến tình hình sản xuất kinh doanh và tiêu dùng của các quý tiếp theo..Bên cạnh đó, lạm phát hiện hữu cũng khiến hoạt động sản xuất, kinh doanh của doanh nghiệp gặp nhiều rủi ro, chi phí tăng cao khiến một loạt lĩnh vực như chăn nuôi, đánh bắt, vận tải… chật vật duy trì..Sản xuất nông, lâm nghiệp và thủy sản tiếp tục xu hướng tích cực do dịch bệnh Covid-19 trong nước đã được kiểm soát và nhu cầu tiêu dùng hàng nông sản trên thế giới tăng cao, xuất khẩu dịch chuyển dần sang các thị trường khác giá trị hơn và dự kiến sản xuất nông, lâm nghiệp và thủy sản vẫn sẽ duy trì đà tăng trưởng trong những tháng cuối năm."
5,"[1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Dự hội nghị tại điểm cầu Văn phòng Chính phủ có Phó Thủ tướng Lê Minh Khái; Bộ trưởng, Chủ nhiệm Văn phòng Chính phủ Trần Văn Sơn; Bộ trưởng Bộ Xây dựng Nguyễn Thanh Nghị, Thống đốc Ngân hàng nhà nước Việt Nam Nguyễn Thị Hồng; lãnh đạo các bộ ngành: Tài chính, Tài nguyên và Môi trường; Công an; Kế hoạch và Đầu tư;... đại diện các hiệp hội, chuyên gia trong lĩnh vực tài chính, bất động sản..Tại Báo cáo đánh giá toàn thị trường bất động sản (BĐS) năm 2021 và 6 tháng đầu năm 2022; dự báo tình hình và đề xuất các giải pháp phát triển thị trường BĐS an toàn, lành mạnh, bền vững, Bộ trưởng Bộ Xây dựng Nguyễn Thanh Nghị cho biết, thị trường BĐS nước ta trong thời gian quan đã có sự phát triển quan trọng cả về quy mô, trình độ, năng lực, kinh nghiệm của các chủ thể tham gia thị trường… đóng góp quan trọng vào sự phát triển kinh tế, ổn định vĩ mô, bảo đảm an sinh xã hội của đất nước..Chiều 14/7, Thủ tướng Phạm Minh Chính chủ trì Hội Nghị phát triển thị trường bất động sản an toàn, lành mạnh, bền vững..Bộ trưởng Bộ Xây dựng cũng báo cáo, về lượng giao dịch BĐS năm 2021, có khoảng 110.000 giao dịch căn hộ chung cư, nhà ở riêng lẻ tại các dự án (gần tương đương lượng giao dịch năm 2020 là khoảng 115.000 giao dịch), nhưng lượng giao dịch đất nền tăng mạnh, tổng lượng giao dịch đất nền trong năm khoảng 170.000 giao dịch."
6,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","Vinpearl Safari đang chăm sóc hai cá thể đười ươi Sumatra vô cùng đặc biệt là Suaq và Surya, vốn là loài ở tình trạng bảo tồn nguy cấp..Đây là loài động vật nằm trong chương trình hợp tác bảo tồn nhân giống giữa Vinpearl Safari Phú Quốc, Hiệp hội vườn thú và thủy cung Đông Nam Á (SEAZA) và Hiệp hội vườn thú và thủy cung châu Âu (EAZA)..Vào tháng 2/2017, Vinpearl Safari Phú Quốc tiếp nhận, chăm sóc và bảo tồn 6 cá thể khỉ đầu chó mặt xanh (Mandrill), bao gồm con đực Jo, 5 cá thể cái Inge, Mette, Kara, Katja và Lana từ vườn thú Hellabrunn của Đức..Chế độ dinh dưỡng của đười ươi Sumatra tại Vinpearl Safari Phú Quốc được đảm bảo phong phú, bao gồm các loại trái cây, rau củ, sữa chua, nước ép và trứng gà luộc… Anh Bùi Phi Hoàng, Trưởng Bộ phận chăm sóc động vật của Vinpearl Safari kể lại một kỷ niệm vui: “Về độ ‘háu ăn“và ‘tinh khôn” thì không ai qua mặt được cặp đôi này."
7,"[0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Bitcoin đã phải chật vật để thoát khỏi vùng giá 19.000-20.000 USD sau khi Cục Dự trữ Liên bang Mỹ (Fed) thắt chặt chính sách tiền tệ và nhiều công ty cho vay tiền điện tử lớn sụp đổ..Đây cũng là giá của Bitcoin vào giữa tháng 6 trước khi liên tục tụt dốc không phanh..Ether, tiền mã hóa có vốn hóa lớn chỉ sau Bitcoin, tăng gần 11%, chạm mốc 1.631 USD/đồng..Altcoin thường có tỷ lệ tăng cao hơn Bitcoin khi giá leo dốc trở lại, một phần vì chúng được các nhà giao dịch đầu cơ ưa chuộng hơn và thường kém thanh khoản hơn..Tiếp nối xu hướng đó, các loại altcoin (những loại tiền mã hóa khác) cũng tăng trưởng."
8,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Ông Nguyễn Minh Trí đơn cử, trong công tác mua nhập lương thực dự trữ quốc gia (DTQG), do ảnh hưởng của dịch Covid-19 trên toàn thế giới, xu hướng tích trữ lương thực của các quốc gia tăng, xuất khẩu tăng làm cho giá gạo xuất khẩu tăng khiến thị trường trong nước giá liên tục biến động nên việc phối hợp với Sở Tài chính xây dựng phương án giá mua lương thực của đơn vị còn gặp nhiều khó khăn..Đề cập tới công tác nhập mua 8.500 tấn gạo dự trữ quốc gia (DTQG) theo kế hoạch năm 2022, ông Hạ Văn Cơ - Cục trưởng Cục Dự trữ Nhà nước (DTNN) khu vực Hoàng Liên Sơn cho biết, cùng với các đơn vị trong ngành DTNN, năm 2022 là năm đầu tiên đơn vị thực hiện đấu thầu mua gạo DTQG trên hệ thống mạng đấu thầu quốc gia nên trong quá trình thực hiện còn nhiều vấn đề chưa hiểu đúng, đơn vị thường xuyên phải tham khảo ý kiến các vụ chuyên môn của Tổng cục DTNN..Ông Nguyễn Minh Trí cho biết, năm 2022, công tác đấu thầu qua mạng mua lương thực DTQG tại đơn vị khác với các năm trước, do đây là năm đầu tiên thực hiện việc mua lương thực được thực hiện bằng hình thức đấu thầu qua mạng nên đơn vị cũng còn lúng túng trong việc đánh giá hồ sơ dự thầu..Cục trưởng Nguyễn Minh Trí chia sẻ, khi triển khai mua lương thực đơn vị đã tham khảo giá lương thực theo tiêu chuẩn dự trữ của Sở Tài chính tỉnh Long An, tỉnh Đồng Nai, đồng thời cập nhật thông tin về giá lương thực qua các phương tiện thông tin đại chúng để dự báo, xác định kịp thời về giá mua lương thực báo cáo Tổng cục DTNN ra quyết định giá mua lương thực năm 2022 phù hợp..Hay trong công tác xuất gạo hỗ trợ học sinh, theo Quyết định số 470/QĐ-TCDT của Tổng cục Dự trữ Nhà nước (DTNN) về việc ban hành quy trình lập dự toán, quyết toán chi phí hàng DTQG cứu trợ, viện trợ yêu cầu: Hồ sơ cung cấp bao bì, đóng gói, bốc xếp, bảo hiểm khi lập dự toán phải có 3 báo giá mà số lượng gạo đơn vị xuất bổ sung hỗ trợ cho học sinh của các tỉnh ít, phí bảo hiểm vận chuyển ít, chỉ vài chục nghìn nên không doanh nghiệp bảo hiểm nào cung cấp báo giá, ảnh hưởng tới quy trình, tiến độ thực hiện công việc của Cục DTNN khu vực TP. Hồ Chí Minh..Sau khi có kết quả lựa chọn nhà thầu, Cục DTNN khu vực Đông Bắc đã liên hệ với các doanh nghiệp trúng thầu để hoàn thiện hợp đồng mua bán, đồng thời đôn đốc các nhà thầu khẩn trương cung cấp gạo nhập kho..Đơn vị tổ chức, thực hiện công tác kiểm tra, kiểm nghiệm chất lượng gạo nhập kho kế hoạch năm 2022..Nhờ đó, đơn vị đã tổ chức đấu thầu qua mạng thành công mua 10.500 tấn gạo 15% tấm, sản xuất vụ Đông Xuân năm 2022, gạo đạt tiêu chuẩn chất lượng theo quy chuẩn kỹ thuật quốc gia QCVN 06: 2019/BTC và được đưa vào nhập kho DTQG tại 2 chi cục DTNN: Long An, Đồng Nai, hoàn thành 100% kế hoạch được giao trước thời hạn quy định."
9,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Quá trình này phát hiện gần 50% mẫu rau củ quả tại TP.HCM tồn dư lượng hóa chất như hoạt chất carbendazim (trị nấm) trên cải bó xôi, cà chua, cải ngọt, cải thìa, cải xanh, mồng tơi, húng cây, rau dền..Trong báo cáo tổng kết 6 năm thí điểm thành lập, Ban Quản lí an toàn thực phẩm TP.HCM cho biết đã lấy 2140 mẫu các sản phẩm tham gia ""Chuỗi thực phẩm an toàn"" gửi kiểm tra..Ban Quản lí an toàn thực phẩm TP.HCM cho biết, kết quả kiểm nghiệm cho thấy sản phẩm rau quả phát hiện cùng lúc tồn dư dư lượng thuốc bảo vệ thực vật của nhiều hoạt chất (16 mẫu), trong đó có sản phẩm phát hiện đến 07 hoạt chất thuốc bảo vệ thực vật."
10,"[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","Cụ thể, một số hãng hàng không như Vietjet, Bamboo Airways… vừa triển khai dịch vụ thu thêm 100.000 – 140.000 đồng tùy chuyến đối với khách muốn làm thủ tục nhanh ở sân bay Tân Sơn Nhất..Được đánh giá là sự lựa chọn thêm cho khách song dịch vụ thu phí check in nhanh lại gây tranh cãi khi nhiều người cho rằng như vậy là có sự phân biệt, thậm chí không công bằng với khách hàng..Quay trở lại câu chuyện hiện nay trong bối cảnh nhu cầu đi lại lớn, sân bay đông nghẹt khách hàng chờ đợi để làm thủ tục check in, ông Long cho rằng việc một số hãng hàng không triển khai dịch vụ ưu tiên làm thủ tục nhanh có trả phí là ""vẽ ra"" để tăng nguồn thu, khách hàng có tiền sẽ được ưu tiên..Tuy nhiên, Bộ GTVT đã bác bỏ đề nghị này vì tăng phụ phí thực chất là tăng giá vé máy bay của hành khách..Trao đổi trên truyền thông, đại diện Cục Hàng không Việt Nam cho biết, Cục đang cho rà soát lại các quy định để đánh giá việc thu phí làm thủ tục nhanh này đúng hay sai..Các hãng bay riển khai thêm dịch vụ thu phí để ưu tiên làm thủ tục nhanh đang gây bức xúc cho nhiều khách hàng..Bởi cùng một loại vé, những lúc đông khách, một bên phải chờ đợi cả giờ, một bên được ưu tiên phục vụ sau khi đóng thêm phí..Trước đó, dư luận cũng bức xúc khi Grab áp dụng thu thêm phụ phí nắng nóng tại các địa phương với mức 5.000 đồng/mỗi chuyến GrabBike, đơn hàng GrabFood, GrabMart và 3.000 đồng với dịch vụ GrabExpress."
